timestamp,open (CNY),high (CNY),low (CNY),close (CNY),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD)
2023-05-02,204746.72939600,210667.17264800,203315.09120000,209135.16075600,28068.26000000,28879.88000000,27872.00000000,28669.86000000,50824.52240000,50824.52240000
2023-05-01,213244.50072000,214004.16036400,201819.33347000,204746.72939600,29233.20000000,29337.34000000,27666.95000000,28068.26000000,64433.65958000,64433.65958000
2023-04-30,213224.44057000,218614.71229400,212123.97721400,213244.57366600,29230.45000000,29969.39000000,29079.59000000,29233.21000000,39752.53720000,39752.53720000
2023-04-29,213817.05387400,214817.80004800,211769.53260000,213224.44057000,29311.69000000,29448.88000000,29031.00000000,29230.45000000,20466.83058000,20466.83058000
2023-04-28,214992.06804200,215916.80448400,210748.28860000,213817.12682000,29472.77000000,29599.54000000,28891.00000000,29311.70000000,54298.16578000,54298.16578000
2023-04-27,207278.17443400,218035.59400000,207012.43215600,214992.06804200,28415.29000000,29890.00000000,28378.86000000,29472.77000000,95430.82431000,95430.82431000
2023-04-26,206443.01568000,219100.60560000,198668.43100000,207278.17443400,28300.80000000,30036.00000000,27235.00000000,28415.29000000,129228.40403000,129228.40403000
2023-04-25,200681.22997800,207166.56705400,198354.76320000,206442.94273400,27510.93000000,28399.99000000,27192.00000000,28300.79000000,52325.14637000,52325.14637000
2023-04-24,201262.31781400,204248.80000000,196537.09477200,200681.22997800,27590.59000000,28000.00000000,26942.82000000,27510.93000000,53111.56874000,53111.56874000
2023-04-23,202912.79401000,202912.79401000,199224.64425000,201262.39076000,27816.85000000,27816.85000000,27311.25000000,27590.60000000,34812.09581000,34812.09581000
2023-04-22,198871.51266400,203393.28931200,197977.99711000,202912.79401000,27262.84000000,27882.72000000,27140.35000000,27816.85000000,36023.69686000,36023.69686000
2023-04-21,206026.12929000,206977.12629200,197866.02500000,198871.51266400,28243.65000000,28374.02000000,27125.00000000,27262.84000000,77684.76790000,77684.76790000
2023-04-20,210063.32566000,212187.51318000,204321.74600000,206026.12929000,28797.10000000,29088.30000000,28010.00000000,28243.65000000,76879.09372000,76879.09372000
2023-04-19,221610.02094600,221854.53593800,208041.99200000,210063.32566000,30380.01000000,30413.53000000,28520.00000000,28797.10000000,86575.48656000,86575.48656000
2023-04-18,214682.04754200,222375.88100000,212249.37138800,221610.02094600,29430.27000000,30485.00000000,29096.78000000,30380.01000000,62004.89434000,62004.89434000
2023-04-17,221060.37283600,221143.53127600,213298.84549000,214682.04754200,30304.66000000,30316.06000000,29240.65000000,29430.27000000,56441.81127000,56441.81127000
2023-04-16,220990.63646000,222849.95705400,219713.35200000,221060.29989000,30295.10000000,30549.99000000,30120.00000000,30304.65000000,26431.99322000,26431.99322000
2023-04-15,222244.06757800,223182.66376000,220311.50920000,220990.56351400,30466.93000000,30595.60000000,30202.00000000,30295.09000000,25429.81247000,25429.81247000
2023-04-14,221565.01326400,226132.60000000,218589.98360000,222244.06757800,30373.84000000,31000.00000000,29966.00000000,30466.93000000,75984.19452000,75984.19452000
2023-04-13,218021.51542200,223178.28700000,217777.29221400,221565.01326400,29888.07000000,30595.00000000,29854.59000000,30373.84000000,51934.11731000,51934.11731000
2023-04-12,220300.05667800,222383.17560000,216192.97804000,218021.51542200,30200.43000000,30486.00000000,29637.40000000,29888.07000000,62049.48451000,62049.48451000
2023-04-11,216192.61331000,222850.03000000,215847.21400000,220299.98373200,29637.35000000,30550.00000000,29590.00000000,30200.42000000,67990.07621000,67990.07621000
2023-04-10,206610.49969600,217160.24200000,205488.88200000,216192.54036400,28323.76000000,29770.00000000,28170.00000000,29637.34000000,67754.06220000,67754.06220000
2023-04-09,203799.30674800,208114.93800000,202789.88000000,206610.49969600,27938.38000000,28530.00000000,27800.00000000,28323.76000000,32531.16101000,32531.16101000
2023-04-08,203565.58776400,205379.39005400,203220.40729200,203799.30674800,27906.34000000,28154.99000000,27859.02000000,27938.38000000,19479.96735000,19479.96735000
2023-04-07,204495.57631800,204978.26000000,202548.72052400,203565.51481800,28033.83000000,28100.00000000,27766.94000000,27906.33000000,24762.09387000,24762.09387000
2023-04-06,205488.95494600,205576.78193000,202140.66060000,204495.50337200,28170.01000000,28182.05000000,27711.00000000,28033.82000000,40118.94963000,40118.94963000
2023-04-05,205455.83746200,209902.11500000,202827.08246000,205488.95494600,28165.47000000,28775.00000000,27805.10000000,28170.01000000,60737.64732000,60737.64732000
2023-04-04,202789.88000000,207490.81202400,201788.98793400,205455.83746200,27800.00000000,28444.44000000,27662.79000000,28165.47000000,49722.55691000,49722.55691000
2023-04-03,205502.52290200,207903.32165400,198414.87070400,202789.88000000,28171.87000000,28500.99000000,27200.24000000,27800.00000000,79180.01405000,79180.01405000
2023-04-02,207551.35720400,208114.93800000,203201.51427800,205502.52290200,28452.74000000,28530.00000000,27856.43000000,28171.87000000,37365.65692000,37365.65692000
2023-04-01,207643.41505600,210228.25656600,205855.58154200,207551.28425800,28465.36000000,28819.71000000,28220.27000000,28452.73000000,30238.44753000,30238.44753000
2023-03-31,204456.91493800,209039.09087400,200686.91976600,207643.41505600,28028.53000000,28656.69000000,27511.71000000,28465.36000000,78198.12139000,78198.12139000
2023-03-30,206791.69756000,212890.56672800,201958.29560000,204456.91493800,28348.60000000,29184.68000000,27686.00000000,28028.53000000,98865.43256000,98865.43256000
2023-03-29,198858.52827600,208990.29000000,198705.63346000,206791.69756000,27261.06000000,28650.00000000,27240.10000000,28348.60000000,89486.16008000,89486.16008000
